PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.",2025 Mar 3,"Oka E, Okada M, Ikuno Y, Amano K, Shioya S, Kawabata M, Sakurai R, Konishi M, Nakaya T, Katanoda K, Ueda Y, Ito Y",,
40080017,Health Care Contact Days for Older Adults Enrolled in Cancer Clinical Trials.,2025 Mar 3,"Gupta A, Till C, Vaidya R, Hershman DL, Unger JM",,
40080000,Persistent Prostate-Specific Antigen Following Radical Prostatectomy for Prostate Cancer and Mortality Risk.,2025 Mar 13,"Tilki D, Chen MH, Wu J, Huland H, Graefen M, Trock BJ, Han M, D'Amico AV",,
40079965,Genetic and Demographic Determinants of Fuchs Endothelial Corneal Dystrophy Risk and Severity.,2025 Mar 13,"Liu S, Sadan AN, Bhattacharyya N, Zarouchlioti C, Szabo A, Abreu Costa M, Hafford-Tear NJ, Kladny AS, Dudakova L, Ciosi M, Moghul I, Wilkins MR, Allan B, Skalicka P, Hardcastle AJ, Pontikos N, Bunce C, Monckton DG, Muthusamy K, Liskova P, Tuft SJ, Davidson AE",,
40079948,Adjuvant Chemoradiotherapy vs Radiotherapy Alone for Patients With Intermediate-Risk Cervical Cancer.,2025 Mar 13,"Agustí N, Viveros-Carreño D, Wu CF, Wilke RN, Kanbergs A, Barajas K, Zamorano AS, Pareja R, Melamed A, Rauh-Hain JA",,
40079946,Pretreatment Liquid Biopsy and Clinicopathologic Features in HPV-Associated Oropharyngeal Squamous Cell Carcinoma.,2025 Mar 13,"Cooke PV, Chennareddy S, Kraft DO, Kappauf C, Lam AS, Chen S, Sindhu KK, Berger MH, Ferrandino RM, Kulkarni R, Tang M, Ghesani N, Misiukiewicz K, Bakst RL, Posner MR, Genden EM, Chai RL, Roof SA",,
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025 Mar 13,"Haddad R, Fayette J, Teixeira M, Prabhash K, Mesia R, Kawecki A, Dechaphunkul A, Dinis J, Guo Y, Masuda M, Hsieh CY, Ghi MG, Vaz de Melo Sette C, Harrington K, Tahara M, Saba NF, Lau A, Jiang T, Yan Y, Ballinger M, Kaul M, Matheny C, Cuchelkar V, Wong DJ",,
40079943,Sotorasib's Accelerated Approval: Wrong Dose and Indication.,2025 Mar 13,"Ratain MJ, Kesselheim AS",,
40079941,"Prognostic significance of Ki-67 in assessing the risk of progression, relapse or metastasis in pheochromocytomas and paragangliomas.",2025 Dec,"Luo Z, Yan X, Liu Y, Nan F, Lei Y, Ren Y, Li L",,
40079940,Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial.,2025 Mar 13,"Liang YL, Liu X, Shen LF, Hu GY, Zou GR, Zhang N, Chen CB, Chen XZ, Zhu XD, Yuan YW, Yang KY, Jin F, Hu WH, Xie FY, Huang Y, Han F, Tang LL, Mao YP, Lu LX, Sun R, He YX, Zhou YY, Long GX, Tang J, Chen LS, Zong JF, Jin T, Li L, Lin J, Huang J, Gong XY, Zhou GQ, Chen L, Li WF, Chen YP, Xu C, Lin L, Huang SH, Huang SW, Wang YQ, Huang CL, Feng HX, Hou M, Chen CH, Zheng SF, Li YQ, Hong SB, Jie YS, Li H, Yun JP, Zang SB, Liu SR, Lin QG, Li HJ, Tian L, Liu LZ, Zhao HY, Li JB, Lin AH, Liu N, Zhang Y, Guo R, Ma J, Sun Y",,
40079928,Pulsed TM-YAG laser (Thulio®): a new weapon in endourologists' hand in the conservative management of imperative cases of Upper Tract Urothelial Carcinoma (UTUC).,2025 May-Jun,"Scalia R, Gisone S, Escobar R, Proietti S, Gaboardi F, Giusti G",,
40079925,Novel Role Of DSNB in Staging of Primary Urethral Cancer: New Standard?,2025 May-Jun,"Fazili A, Sirard RB, Elst L, Vandermaesen K, Xu H, Albersen M, Spiess PE",,
40079917,Silent intruders: Hematolymphoid neoplasms revealed in the jaws: a series of three cases.,2025 Mar 13,"Jain T, Kumar S, Rajoria S, Keerthika R, Chandra A, Agarwal R",,
40079916,XL888 and pembrolizumab modulate the immune landscape of colorectal tumors in a phase Ib/II clinical trial.,2025 Dec,"Phillips MJ, Alese OB, Horvat NK, Greene E, Gbolahan OB, Coleman K, Doxie DB, Parihar V, Mahdi ZK, McCook-Veal A, Switchenko JM, Diab M, Herting CJ, Paulos CM, El-Rayes BF, Lesinski GB",,
40079907,"Hydrazonate-Based Copper(II) Metallodrugs: Insights into Solution Behavior, G-Quadruplex DNA Interaction, and Anticancer Potential.",2025 Mar 13,"Mohanty M, Lima S, Pattanayak PD, Das S, Buchholz A, Görls H, Plass W, Kaminskey W, Dinda R",,
40079878,Multimodal management of a persistent labial hemangioma: a case report.,2025 Jan-Feb,"Correia-Neto IJ, Fernandes DT, Sousa-Neto SS, Faustino ISP, Vargas PA, Santos-Silva AR, Lopes MA",,
40079860,An unusual presentation of a traumatic bone cyst: a mixed-density variant in the mandibular ramus.,2025 Mar-Apr,"Nagpal A, Zouabi R, Tadinada A",,
40079845,Redefining Hepatocellular Carcinoma Treatment: Nanotechnology Meets Tumor Immune Microenvironment.,2025 Mar 13,"Mi C, Liu S, Chen Z",,
40079794,Dual-Functioning Metal-Organic Frameworks: Methotrexate-Loaded Gadolinium MOFs as Drug Carriers and Radiosensitizers.,2025 Mar 13,"Karaca B, Sakarya D, Siyah P, Senisik AM, Kaptan Y, Civan Cavusoglu F, Sezgin Mansuroglu D, Öztürk S, Bayazit SS, Barlas FB",,
40079767,Systemic Targeted Therapies in Patients with Relapsed/Refractory Advanced Stage Cutaneous T-cell Lymphoma: A Real-world Single-centre Case Series.,2025 Mar 13,"Hedebo S, Pedersen MB, Lindahl LM, Drjlevic-Nielsen A, Johansen C, D'Amore F, Iversen L, Bech R",,
40079761,Circulating Immune Features Synergizing Neutrophil-to-Lymphocyte Ratio in Prediction of Poor Survival of Early-Stage Hepatocellular Carcinoma After Thermal Ablation.,2025 Jan-Dec,"Fan F, Dong G, Han C, Luo Y, Li X, Dong X, Wang Z, Liang P, Yu J",,
40079736,Healthcare costs in relation to increased use of preoperative renal tumour biopsies.,2025 Mar 13,"Lind A, Mazin Hashim B, Hagman M, Holst S, Karlsson Rosenblad A, Ljungberg B, Lundgren PO, Lundstam S, Nystrand C, Goude F, Lauritsen T",,
40079734,EBV enhances immunotherapy sensitivity in intrahepatic cholangiocarcinoma through cGAS-STING pathway activation.,2025 Apr 1,"Huang L, Zhong Q, Huang S, Yang K, Cai Y, Guo G",,
40079707,"The current landscape of 1,2,3-triazole hybrids with anticancer therapeutic potential: Part I.",2025 Mar,"Huang S, Xu Z, Zhuang Y",,
40079704,Multicomponent interventions designed to support adherence to guideline-recommended therapy in patients with peripheral artery disease: A scoping review.,2025 Mar 13,"Lampridou S, Domun T, Rosenberg J, Lear R, Davies AH, Wells M, Judah G",,
40079699,Novel Case of Bilateral Posterior Canal Benign Paroxysmal Positional Vertigo (BPPV) with Double Canal Switch and Canal Jam Following Treatment with Epley Maneuver.,2025 Mar 13,"Vats AK, Castellucci A, Kothari S, Vats S, Minocha P",,
40079691,Factors associated with diagnostic and treatment intervals in colorectal cancer: A linked data study.,2025 Mar 13,"Drosdowsky A, Lamb KE, Te Marvelde L, Gibbs P, Dunn C, Faragher I, Jones I, IJzerman MJ, Emery JD",,
40079683,Evaluation of hyperprogressive disease with atezolizumab plus bevacizumab for hepatocellular carcinoma: A secondary analysis of the IMbrave150 trial.,2025 Mar 13,"Gao Y, Cheng AL, Li LX, Parent N, Kichenadasse G, Karapetis CS, Rowland A, Hopkins AM, Sorich MJ",,
40079672,Prehabilitation Interventions in Patients Undergoing Colorectal Cancer Surgery: A Systematic Review and Meta-Analysis.,2025 Mar 13,"Liao YS, Chiu HY, Huang FH, Chang YH, Huang YM, Wei PL, Wang W, Hung CS, Tung HH",,
40079670,Quadratus lumborum block is feasible alternative to epidural block for postoperative analgesia after open radical cystectomy: surgical and oncological outcomes of a randomised clinical trial.,2025 Mar 13,"Veskimäe E, Korgvee A, Huhtala H, Koskinen H, Kalliomaki ML, Tammela T, Junttila E",,
40079654,Radiotherapy quality assurance in the PROTECT trial - a European randomised phase III-trial comparing proton and photon therapy in the treatment of patients with oesophageal cancer.,2025 Mar 13,"Skinnerup Byskov C, Mortensen HR, Biston MC, Broggi S, Bütof R, Canters R, Crehange G, Defraene G, Doyen J, Ehmsen ML, Fabiano S, Fracchiola F, Goudjil F, Haustermans K, Jensen SE, Jensen MF, Lecornu M, Makocki S, Mana AL, Martignano A, Meijers A, Mirandola A, Mitrea DA, Muijs CT, Møller DS, Nordsmark M, Orlandi E, Balermpas P, Populaire P, Scartoni D, Serrand J, Shamshad M, Slim N, Vanoni V, Vela A, Vidal M, Vilches-Freixas G, Weber D, Hoffmann L",,
40079630,[Progress in the treatment of ovarian cancer].,2025 Feb,"Witzel I, Samartzis EP, El-Balat A",,
40079610,Predicting survival outcomes in dedifferentiated chondrosarcoma: a prognostic factor analysis from a National Registry.,2025,"Masunaga T, Tsukamoto S, Honoki K, Fujii H, Kido A, Akahane M, Tanaka Y, Mavrogenis AF, Errani C, Kawai A",,
40079599,A machine learning tool for identifying metastatic colorectal cancer in primary care.,2025 Mar 13,"Abedi E, Ewing M, Nemlander E, Hasselström J, Sjövall A, Carlsson AC, Rosenblad A",,
40079530,Clinical outcomes and molecular characteristics of lung-only and liver-only metastatic pancreatic cancer: results from a real-world evidence database.,2025 Mar 10,"Levi A, Blais E, Davelaar J, Ebia MI, Minasyan A, Nikravesh N, Gresham G, Zheng L, Chuy JW, Shroff RT, Wadlow RC, DeArbeloa P, Matrisian LM, Petricoin E, Pishvaian MJ, Gong J, Hendifar AE, Osipov A",,
40079529,Fifth subtype of Kaposi sarcoma in HIV-negative MSM: a retrospective single-arm cohort study from a tertiary care center in NYC from 2000 to 2022.,2025 Mar 10,"Morales AE, Benson G, Glavan S, Giuliano R, Dickson MA",,
40079497,Incidental Brain Metastases From Prostate Cancer Diagnosed With PSMA PET/CT and MRI: A Case Series and Literature Review.,2025 Mar 13,"Mondia MWL, Batchala PP, Dreicer R, Devitt ME, McCord MR, Mut M, Sheehan JP, Schiff D, Fadul CE",,
40079483,"Safety and effectiveness of ixekizumab in Japanese patients with psoriasis vulgaris, psoriatic arthritis, generalized pustular psoriasis, and erythrodermic psoriasis: Post-marketing surveillance.",2025 Mar 13,"Torii H, Morita A, Yamamoto C, Dong J, Tsujimoto M, Matsuo T, Torisu-Itakura H, Ohtsuki M, Saeki H",,
40079474,"International, multicenter analysis of endoscopic full-thickness resection of duodenal neuroendocrine tumors.",2025 Mar 13,"Wannhoff A, Nabi Z, Moons LMG, Haber G, Ge P, Dertmann T, Deprez PH, Korcz W, Bouvette C, Mueller J, Tribonias G, Grande G, Kim JJ, Weich A, Heinrich H, Mollenkopf M, George J, Pioche M, Azzolini F, Kouladouros K, Boger P, Hayee B, Bilal M, Bastiaansen BAJ, Caca K, Upper GI FTRD Study Group",,
40079446,Proteomic Analyses of Clots Identify Stroke Etiologies in Patients Undergoing Endovascular Therapy.,2025 Mar,"Kim TJ, Jung JW, Kim YJ, Yoon BW, Han D, Ko SB",,
40079445,Quantifying multi-institutional ADC measurement variability of 1.5 T MR-Linacs: A phantom and in vivo study.,2025 Mar 13,"Carr ME, Keenan KE, Beavan M, Byrne H, Higuchi S, Walker A, Elliott S, Baines J, Batumalai V, Metcalfe P, Holloway L, Jameson MG",,
